date,open,high,low,close,volume,short,middle,long,bear_fractal,bull_fractal
2021-09-23 21:00:00,381.4,382.66,380.53,381.12,23070.71,381.06,379.72,377.95,False,False
2021-09-23 22:00:00,381.12,382.73,378.39,380.95,45268.53,381.01,379.96,378.26,False,True
2021-09-23 23:00:00,380.9,384.45,379.67,383.36,43969.47,381.95,380.64,378.8,False,False
2021-09-24 00:00:00,383.31,385.0,379.38,379.96,96481.26,381.15,380.5,378.92,True,False
2021-09-24 01:00:00,379.95,381.5,376.21,376.96,37451.94,379.47,379.79,378.71,False,False
2021-09-24 02:00:00,376.93,377.76,374.75,375.92,36286.71,378.05,379.02,378.42,False,False
2021-09-24 03:00:00,375.92,377.76,373.62,374.48,33542.07,376.62,378.11,378.0,False,False
2021-09-24 04:00:00,374.51,375.99,372.83,374.6,44760.39,375.81,377.41,377.65,False,False
2021-09-24 05:00:00,374.64,374.64,370.22,372.74,56639.25,374.58,376.47,377.13,False,True
2021-09-24 06:00:00,372.74,375.24,370.86,370.86,46212.37,373.09,375.35,376.47,False,False
2021-09-24 07:00:00,370.86,381.32,370.67,376.5,144912.47,374.45,375.58,376.47,True,False
2021-09-24 08:00:00,376.51,380.33,373.01,374.24,73404.42,374.37,375.31,376.24,False,False
2021-09-24 09:00:00,374.22,374.23,347.0,347.31,458311.92,363.54,369.71,373.19,False,False
2021-09-24 10:00:00,347.28,352.63,343.13,344.78,254146.83,356.03,364.72,370.2,False,False
2021-09-24 11:00:00,344.77,346.68,333.3,345.11,350902.36,351.66,360.8,367.56,False,True
2021-09-24 12:00:00,345.17,345.29,338.79,340.31,130431.79,347.12,356.7,364.69,False,False
2021-09-24 13:00:00,340.31,346.76,336.2,345.95,158275.35,346.65,354.55,362.72,False,False
2021-09-24 14:00:00,345.92,354.3,345.25,351.7,171799.03,348.67,353.98,361.56,True,False
2021-09-24 15:00:00,351.75,352.07,345.01,347.44,119276.69,348.17,352.67,360.07,False,False
2021-09-24 16:00:00,347.44,350.97,346.6,350.01,67533.99,348.91,352.14,359.01,False,False
2021-09-24 17:00:00,350.01,350.03,346.17,348.07,46426.27,348.57,351.32,357.86,False,False
2021-09-24 18:00:00,348.08,351.17,347.4,349.09,37169.29,348.78,350.87,356.93,False,False
2021-09-24 19:00:00,349.1,353.74,348.9,351.77,63279.82,349.97,351.05,356.39,False,False
2021-09-24 20:00:00,351.79,356.19,351.2,356.14,48862.86,352.44,352.07,356.36,False,False
2021-09-24 21:00:00,356.14,358.83,354.68,357.49,55070.14,354.46,353.15,356.48,True,False
2021-09-24 22:00:00,357.49,358.59,355.51,357.37,38960.44,355.62,353.99,356.57,False,False
2021-09-24 23:00:00,357.39,357.82,353.03,354.98,46173.57,355.36,354.19,356.41,False,False
2021-09-25 00:00:00,354.94,358.67,353.4,357.67,59319.41,356.28,354.89,356.54,True,False
2021-09-25 01:00:00,357.67,358.6,350.57,355.04,71969.18,355.78,354.92,356.38,False,True
2021-09-25 02:00:00,355.03,357.2,353.11,353.54,41891.58,354.88,354.64,356.08,False,False
2021-09-25 03:00:00,353.54,358.57,353.13,357.25,56676.0,355.83,355.16,356.2,False,False
2021-09-25 04:00:00,357.24,360.73,357.24,357.96,51239.32,356.68,355.72,356.39,True,False
2021-09-25 05:00:00,357.96,359.31,353.36,353.74,49884.06,355.5,355.32,356.11,False,False
2021-09-25 06:00:00,353.72,357.37,353.49,356.94,33145.78,356.07,355.65,356.2,False,False
2021-09-25 07:00:00,356.93,357.48,351.14,351.89,55862.32,354.4,354.89,355.74,False,False
2021-09-25 08:00:00,351.85,353.43,343.35,351.73,194520.56,353.33,354.26,355.32,False,True
2021-09-25 09:00:00,351.72,355.65,350.75,353.62,85751.75,353.44,354.13,355.14,False,False
2021-09-25 10:00:00,353.62,356.32,352.99,353.51,55965.37,353.47,354.01,354.97,True,False
2021-09-25 11:00:00,353.48,353.48,348.24,350.46,73631.33,352.26,353.3,354.49,False,False
2021-09-25 12:00:00,350.46,352.32,349.59,350.15,58316.84,351.42,352.67,354.03,False,False
2021-09-25 13:00:00,350.15,353.1,348.14,350.1,77942.78,350.89,352.15,353.62,False,False
2021-09-25 14:00:00,350.1,351.13,346.12,347.07,94640.67,349.36,351.13,352.93,False,False
